orde,atlas_orde,lambda_1,lambda_2,lambda_3,pixel_1,pixel_2,pixel_3
0,47,7353.2931,7227.9359,7206.9804,439,2758,5069
1,4849,7067.2181,7030.2514,6965.4307,2321,3068,4310
2,50,6911.2264,6871.2891,6752.9335,1038,1931,4340
3,5152,6677.2817,6538.112,6583.9059,,,
4,53,6416.307,6384.717,6411.8991,3318,3981,3410
5,54,6307.657,6296.8722,6327.2778,,,
6,56,6114.9234,6098.8031,6052.7239,2269,2650,3697
7,58,5912.0853,5888.58,5882.6242,3271,3809,3943
8,60,5760.9508,5720.1828,5707.1033,3271,4209,4890
9,61,5606.733,5589.0203,5558.702,3512,3980,46380
10,62,5572.5413,5558.702,5495.8738,778,1174,2863
11,64,5343.5812,5326.9756,5311.9786,3422,3838,4209
12,66,5187.7462,5162.2845,5176.961,4230,4859,4485
13,67,5187.7462,5162.2845,5090.495,937,1704,3696
14,6869,5062.0321,5017.1027,4965.0795,1267,2597,4026
15,70,4889.0422,4879.8634,4847.8095,2982,3406,4282
16,71,4847.8095,4806.0205,4764.8095,1235,2534,3726
17,7273,4764.8645,4726.8683,4657.9012,629,1884,3950
18,7475,4609.5672,4579.3494,4545.0519,2550,3470,4463
19,76,4545.0519,4510.7332,4474.7593,1649,2764,3864
20,7778,4426.0011,4400.9863,4379.6668,2648,2439,4090
21,79,4348.064,4333.5611,4300.1007,2414,2891,3950
22,8081,4300.1007,4259.3618,4198.319,1213,2644,4595
23,82,4200.6745,4158.5905,4131.7235,1940,3383,4252
